Table 1. Features Included in Final Model (sorted by Descending Importance in Best Model),,,,,,,,,,,
,,,,,,,,,,,
Feature Name,Feature Grouping,Description,,,,,,,,,
p_pts_won%,TARGET FEATURE,Percentage of total points played won by player in match being predicted ,,,,,,,,,
p_SOS_adj_pts_won%_l60_decay_diff,Player: Adjusted Past Performance ,Difference between player and opponent for mean total points won% for player over their previous  60 matches (surface-specific) in match being predicted. Time-decay weighted (more recent prior to match being predicted = more weight) and further adjusted by strength of schedule of opponents (SOS) over that 60 match period.,,,,,,,,,
p_SOS_adj_pts_won%_l60_decay_IO_weighted_diff,Player: Adjusted Past Performance ,Difference between player and opponent for mean total points won% for player over their previous  60 matches (surface-specific) in match being predicted. Time-decay weighted (more recent prior to match being predicted = more weight) and further adjusted by strength of schedule of opponents (SOS) over that 60 match period. Additional adjustment for whether match being predicted is indoors or outdoors (indoor or outdoor previous matches weighted accordingly).,,Match: Conditions,,,,,,,
p_pts_won%_l60_decay_IO_diff,Player: Adjusted Past Performance ,Difference between player and opponent for  mean total points won% for player over their previous  60 matches (surface-specific) in match being predicted. Time-decay weighted (more recent prior to match being predicted = more weight). Additional adjustment for whether match being predicted is indoors or outdoors (indoor or outdoor previous matches weighted accordingly).,,Player: Non-Adjusted Demographic and Past Performance,,,,,,,
p_opp_log_rank_diff,Player: Non-Adjusted Demographic and Past Performance,Difference between player and opponent for log of pre-tournament ranking of player in match being predicted,,Player: Adjusted Past Performance ,,,,,,,
p_SOS_adj_pts_won%_l60_decay_IO_diff,Player: Adjusted Past Performance ,Difference between player and opponent for mean total points won% for player over their previous  60 matches (surface-specific AND indoor or outdoor specific) in match being predicted. Time-decay weighted (more recent prior to match being predicted = more weight) and further adjusted by strength of schedule of opponents (SOS) over that 60 match period. ,,Player: Adjusted Fatigue & Stamina,,,,,,,
p_SOS_adj_ret_opp_sv_pts_won%_l60_decay_diff,Player: Adjusted Past Performance ,"For a given player in match being predicted, the difference in their 'p_SOS_adj_ret_pts_won%_l60_decay' and opponent's  'p_SOS_adj_sv_pts_won%_l60_decay' . This is one measure of a player's ""Defense"" vs his opponent in the match being predicted's ""Offense"".",,,,,,,,,
p_pts_won%_l60_decay_diff,Player: Adjusted Past Performance ,Difference between player and opponent for  mean total points won% for player over their previous  60 matches (surface-specific) in match being predicted. Time-decay weighted (more recent prior to match being predicted = more weight),,,,,,,,,
p_opp_rank_pts_diff,Player: Non-Adjusted Demographic and Past Performance,Difference between player and opponent for pre-ranking tournament points of player in match being predicted,,,,,,,,,
 p_opp_rank_diff,Player: Non-Adjusted Demographic and Past Performance,Difference between player and opponent for pre-tournament ranking of player in match being predicted,,,,,,,,,
p_SOS_adj_sv_opp_ret_pts_won%_l60_decay_diff,Player: Adjusted Past Performance ,"For a given player in match being predicted, the difference in their 'p_SOS_adj_sv_pts_won%_l60_decay' and opponent's  'p_SOS_adj_ret_pts_won%_l60_decay' . This is one measure of a player's ""Offense"" vs his opponent in the match being predicted's ""Defense"".",,,,,,,,,
p_SOS_adj_pts_won%_l10_diff,Player: Adjusted Past Performance ,Difference between player and opponent for mean total points won% for player over their previous 10 matches (surface-specific) in match being predicted. Adjusted by strength of schedule of opponents (SOS) over that 60 match period.,,,,,,,,,
p_ret_opp_sv_pts_won%_l60_decay_diff,Player: Adjusted Past Performance ,"For a given player in match being predicted, the difference in their 'p_ret_pts_won%_l60_decay' and opponent's  'p_sv_pts_won%_l60_decay' . This is one measure of a player's ""Defense"" vs his opponent in the match being predicted's ""Offense"".",,,,,,,,,
p_pts_won%_l10_diff,Player: Non-Adjusted Demographic and Past Performance,Difference between player and opponent for mean total points won% for player over their previous  10 matches (surface-specific) in match being predicted. ,,,,,,,,,
p_SOS_adj_ret_pts_won%_l60_decay_diff,Player: Adjusted Past Performance ,Difference between player and opponent for mean return points won% for player over their previous 60 matches (surface-specific) in match being predicted. Time-decay weighted (more recent prior to match being predicted = more weight) and further adjusted by strength of schedule of opponents (SOS) over that 60 match period.,,,,,,,,,
p_SOS_adj_sv_pts_won%_l60_decay_diff,Player: Adjusted Past Performance ,Difference between player and opponent for mean serve points won% for player over their previous 60 matches (surface-specific) in match being predicted. Time-decay weighted (more recent prior to match being predicted = more weight) and further adjusted by strength of schedule of opponents (SOS) over that 60 match period.,,,,,,,,,
p_opp_age_diff,Player: Non-Adjusted Demographic and Past Performance,Difference between player and opponent for  age of player for match being predicted,,,,,,,,,
